age,body,colour,fuel,location,make,milage,model,price,transmission
4.3175906913,Hatchback,Red,Petrol,Warrington,FIAT,3275,500 HATCHBACK 1.2 Pop 3dr,9300,Manual
3.394934976,Hatchback,Grey,Petrol,Manchester,MITSUBISHI,33473,MIRAGE HATCHBACK 1.2 3 5dr,9300,Manual
4.0657084189,Hatchback,Grey,Petrol,Doncaster,VAUXHALL,49906,CORSA HATCHBACK SPECIAL EDS 1.4 [75] Griffin 3dr,9300,Manual
4.8158795346,Hatchback,Blue,Petrol,Wolverhampton,SKODA,29676,CITIGO HATCHBACK SPECIAL EDITIONS 1.0 MPI GreenTech Colour Edition 5dr,9300,Manual
4.4462696783,Hatchback,Red,Petrol,Wakefield,SKODA,14768,CITIGO HATCHBACK 1.0 MPI GreenTech SE 3dr,9300,Manual
5.067761807,Hatchback,Blue,Petrol,Wolverhampton,HYUNDAI,29616,I10 HATCHBACK SPECIAL EDITIONS 1.0 Go SE 5dr,9300,Manual
5.0075290897,Hatchback,Blue,Petrol,Cardiff,VAUXHALL,42679,ADAM HATCHBACK 1.4i [100] Slam 3dr,9300,Manual
5.0978781656,Hatchback,Grey,Petrol,Warrington,TOYOTA,28828,AYGO HATCHBACK 1.0 VVT-i X-Style 5dr,9300,Manual
5.3607118412,Hatchback,White,Petrol,Bristol,VAUXHALL,27043,CORSA HATCHBACK SPECIAL EDS 1.4 [75] Energy 3dr [AC],9300,Manual
5.2101300479,Hatchback,Blue,Petrol,Nottingham,HYUNDAI,31587,I10 HATCHBACK 1.2 Premium 5dr,9300,Manual
5.6563997262,Hatchback,Green,Petrol,Manchester,FIAT,20000,500 HATCHBACK 1.2 Lounge 3dr,9300,Manual
4.3942505133,Hatchback,Blue,Petrol,Doncaster,TOYOTA,43787,AYGO HATCHBACK 1.0 VVT-i X-Trend 5dr,9350,Manual
4.0684462697,Hatchback,Blue,Petrol,Nottingham,VAUXHALL,5622,VIVA HATCHBACK 1.0 [73] SE 5dr [A/C],9400,Manual
4.7255304586,Hatchback,Silver,Petrol,Wolverhampton,SKODA,22500,CITIGO HATCHBACK SPECIAL EDITIONS 1.0 MPI GreenTech Colour Edition 3dr,9400,Manual
5.3798767967,Hatchback,Red,Diesel,Manchester,KIA,53171,RIO DIESEL HATCHBACK 1.4 CRDi 2 5dr,9400,Manual
6.3956194387,Hatchback,White,Petrol,Doncaster,VAUXHALL,18110,CORSA HATCHBACK 1.4 [75] ecoFLEX SRi 3dr,9400,Manual
